repositório,título,descrição,labels
shopware/shopware,Product Description overwriting HTML Code,"### Shopware Version

6.7.1.0

### Affected area / extension

Extension:Commercial

### Actual behaviour

When writing HTML with inline CSS in the product description using the HTML mode, it's possible to create well-formatted and styled layouts.

However, as soon as you switch back to the Standard Editor and make even a small change (e.g. editing a single word), the editor automatically rewrites and strips parts of the custom HTML/CSS code.

Expected Behavior:
The WYSIWYG editor should preserve valid HTML/CSS code written manually in HTML mode, even after switching to or editing within the standard visual editor.

Actual Behavior:
Switching to the Standard Editor and editing content results in:

Inline styles being removed or altered

Custom HTML structure (e.g. <table>, <colgroup>, or styled <td>) being replaced or simplified

Loss of layout integrity

Steps to Reproduce:

Open the product description in HTML mode.

Add a styled HTML block with inline CSS (e.g. table with cell padding or background colors).

Save and switch to the Standard Editor.

Make a small change, like editing a word.

Save again and reopen in HTML mode → custom styles are gone.

Impact:
This behavior makes it difficult or impossible to maintain advanced HTML-based layouts in product descriptions.

### Expected behaviour

If i switch Between HTML to standard Editor side and i write text it shouldt overwrite anything.

### How to reproduce

make a table in the Editor. Go to the html code Editor and change the Table with css. Switch to the standard editor sight and change a word. Save and reload the Website.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/administration, extension/Commercial, priority/high, domain/framework"
shopware/shopware,Thumbnails not generated,"### Shopware Version

trunk

### Affected area / extension

Platform(Default)

### Actual behaviour

no thumbnails generated.

just trunk fails:
https://github.com/FriendsOfShopware/FroshPlatformThumbnailProcessor/actions/runs/16626823401/job/47045458713

see test: https://github.com/FriendsOfShopware/FroshPlatformThumbnailProcessor/blob/e8e97a3897ca0ea101e40ae96239a05627781ad2/tests/integration/MediaUrlTest.php#L98

How should we create the thumbnails [after this change](https://github.com/shopware/shopware/commit/de8605468da3edb574d9b2e2129ae2920865f79b)?


### Expected behaviour

should have thumbnails generated

### How to reproduce

(see test)
 
- use NamedMimePngEtxPngWithFolder of mediaFixtures
- set folder
- generate thumbnails
- runWorker
- have no thumbnails

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","priority/high, Platform(Default), domain/discovery"
shopware/shopware,Squished line item document text,"### Shopware Version

6.7.1

### Affected area / extension

Platform(Default)

### Actual behaviour

The line item list in an document is currently squished to the left side of the document.

[Invoice_with_error.pdf](https://github.com/user-attachments/files/21502946/Invoice_with_error.pdf)

### Expected behaviour

The listing should be dsplayed over the full width.

[Invoice_without_error.pdf](https://github.com/user-attachments/files/21502953/Invoice_without_error.pdf)

### How to reproduce

Create a standard invoice document.

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [x] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","component/documents, Platform(Default), domain/crm-after-sales"
shopware/shopware,Cloud: Unable to create a Google Shopping saleschannel,"### Shopware Version

cloud

### Affected area / extension

Platform(Default)

### Actual behaviour

No more Google Shopping sales channels can be created in the cloud. Other sales channels are available. The window remains empty.

<img width=""912"" height=""575"" alt=""Image"" src=""https://github.com/user-attachments/assets/b31d8ea5-a2e9-4e39-95c4-83723c84b423"" />

### Expected behaviour

.

### How to reproduce

Create a Google Shopping sales channel in the cloud shop :)

### Definition of Done

- [ ] An automated test covers the fix.
- [ ] Integration/E2E testing in staging is done.
- [ ] Changelog markdown file created or updated in /changelog/_unreleased directory.
- [ ] Developer documentation written/updated.
- [ ] End user and/or developer documentation written or updated with clarification.
- [ ] Regression test created to ensure bug does not reappear, and automated regression tests pass.
- [ ] Code changes resolve the reported bug without introducing new issues.","extension/Social-Shopping, priority/critical, Platform(Default), domain/discovery, customer-support"
woocommerce/woocommerce,The new reports in woo are terrible.,"### Prerequisites

- [x] I have carried out troubleshooting steps and I believe I have found a bug.
- [x] I have searched for similar bugs in both open and closed issues and cannot find a duplicate.

### Describe the bug

I just want to be able to pull monthly numbers and its impossible to do in the new reporting. Please roll it back. it was better before.

### Expected behavior

I just want to be able to pull monthly numbers and its impossible to do in the new reporting. Please roll it back. it was better before.

### Actual behavior

I just want to be able to pull monthly numbers and its impossible to do in the new reporting. Please roll it back. it was better before.

### Steps to reproduce

I just want to be able to pull monthly numbers and its impossible to do in the new reporting. Please roll it back. it was better before.

### WordPress Environment

<details>

<summary>WordPress Environment</summary>

The System Status Report is found in your WordPress admin under **WooCommerce > Status**. 
Please select “Get system report”, then “Copy for GitHub”, and then paste it here.

</details>


### Isolating the problem

- [ ] I have deactivated other plugins and confirmed this bug occurs when only WooCommerce plugin is active.
- [ ] This bug happens with a default WordPress theme active, or [Storefront](https://woocommerce.com/products/storefront/).
- [ ] I can reproduce this bug consistently using the steps above.","Bug, type: community contribution"
woocommerce/woocommerce,problem in woocommerce at the end of shipping,"### Prerequisites

- [x] I have carried out troubleshooting steps and I believe I have found a bug.
- [ ] I have searched for similar bugs in both open and closed issues and cannot find a duplicate.

### Describe the bug

at the end of the cart when doing the shipping in our website there is a problem that not allow the client see the order completed, in spite the order is created 2 or 3 times

### Expected behavior

the correct behaviour is that the client see a window who says that the order is completed

### Actual behavior

client do the shipment and when finishing the order it appear an error window

### Steps to reproduce

1. go to https://carnivalmeatlab.com/tienda/
2. add items to cart
3. go to finish order
4. fulfill the client info
5. finish your order
6. window of error appear

### WordPress Environment

<details>

<summary>WordPress Environment</summary>

The System Status Report is found in your WordPress admin under **WooCommerce > Status**. 
Please select “Get system report”, then “Copy for GitHub”, and then paste it here.

</details>


### Isolating the problem

- [ ] I have deactivated other plugins and confirmed this bug occurs when only WooCommerce plugin is active.
- [ ] This bug happens with a default WordPress theme active, or [Storefront](https://woocommerce.com/products/storefront/).
- [ ] I can reproduce this bug consistently using the steps above.","Bug, type: community contribution"
woocommerce/woocommerce,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"Currently, the **“Set up payments”** task on the WooCommerce Home screen is not updated to reflect progress when a merchant begins live WooPayments onboarding. As a result, the task may remain in its initial state, even though the onboarding process is already underway.

### **Expected Behavior**

When a merchant initiates **live onboarding** for WooPayments, the “Set up payments” task should automatically transition to the **“in progress”** state.

### **Actual Behavior**

The task remains in its default (not started) state, even after live onboarding is started, potentially confusing merchants or giving the impression that no progress has been made.","Moltres, Onboarding, Task"
woocommerce/woocommerce,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"## **Describe the bug**

The URL used to disable the current WooPayments test account (`/wp-json/wc-admin/settings/payments/woopayments/onboarding/test_account/disable`) is incorrect for stores installed in a subdirectory (`example.com/store/`). This causes the test account to not be disabled when users click on ""Activate payments"" on the Payments Settings page.

## **To Reproduce**

Steps to reproduce the behavior:

* Install WordPress in a subdirectory
* Install WooCommerce and onboard a test account with WooPayments via the WooCommerce > Settings > Payments page.
* Go to WooCommerce > Settings > Payments and click on ""Activate payments"" and notice that nothing happens (and that there is a 404 fetch POST request in the Network browser logs)

## **Expected behavior**

""Activate payments"" should work.

## **Screenshots**

## Environment

Please fill out any of the below that applies

**Operating System/Device**

- [ ] Windows
- [ ] MacOS
- [ ] Linux
- [ ] iPhone
- [ ] Samsung
- [ ] Other (add in additional context field)

**Version:** 

**Browser**

- [ ] Desktop Edge
- [ ] Desktop Chrome/Chromium
- [ ] Desktop Safari
- [ ] Mobile Edge
- [ ] Mobile Chrome/Chromium
- [ ] Mobile Safari
- [ ] Other (add in additional context field)

**Version:** 

## **Additional context**","Bug, Moltres"
woocommerce/woocommerce,Add REST API and hooks documentations to repository,"On the conversation with @nerrad on [https://wooorderstatusp2.wordpress.com/2025/07/30/woocommerce-order-fulfillments-complete-hooks-reference/#comment-297](https://wooorderstatusp2.wordpress.com/2025/07/30/woocommerce-order-fulfillments-complete-hooks-reference/#comment-297) we decided to include the fulfillments REST API and hooks documentation to WooCommerce public repository, because:

* It’s early documentation that lives close to the code being documented.
* If testing end us surfacing any changes being made, the docs can (and should) be updated in the same PR.","Shipping, Documentation, Escargot"
woocommerce/woocommerce,The editor is not showing previewCart data for the checkout blocks,"When the admin doesn't have a cart session, or a cart already saved in localStorage the Editor pages for the checkout blocks fail to display the preview cart 

## **Describe the bug**

When the admin doesn't have a cart session, or a cart already saved in localStorage the Editor pages for the checkout blocks fail to display the preview cart

## **To Reproduce**

Steps to reproduce the behavior:

1. Log in as an admin in incognito. Make sure you have no cart in the storefront, or a cached cart in LocalStorage
2. Go to the Site Editor > Templates > WooCommerce > Page: Cart or Page: Checkout
3. Notice the missing cart items and data

## **Expected behavior**

A preview cart should be rendered with the Beanie and Cap products

## **Screenshots**

<img src=""https://uploads.linear.app/f629fcde-6f9b-48e8-8af3-60eed8823bff/ee24809f-942e-42c7-9f3e-e4fc5abb4c50/f86a083c-0414-4524-ac34-d8b6597eb4c9?signature=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJwYXRoIjoiL2Y2MjlmY2RlLTZmOWItNDhlOC04YWYzLTYwZWVkODgyM2JmZi9lZTI0ODA5Zi05NDJlLTQyYzctOWYzZS1lNGZjNWFiYjRjNTAvZjg2YTA4M2MtMDQxNC00NTI0LWFjMzQtZDhiNjU5N2ViNGM5IiwiaWF0IjoxNzU0MDQyNjgzLCJleHAiOjMzMzI0NjAyNjgzfQ.yJgNeUlkpJiTfFuHxPa0Edfje1N_cLnrJzazrZkmCGk "" alt=""Screenshot 2025-07-30 at 18.41.53.png"" width=""1134"" data-linear-height=""561"" />

<img src=""https://uploads.linear.app/f629fcde-6f9b-48e8-8af3-60eed8823bff/2ea77374-631e-4550-91cf-aa132b238d5c/9c41db74-4b57-4929-920d-6eadbddd172f?signature=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJwYXRoIjoiL2Y2MjlmY2RlLTZmOWItNDhlOC04YWYzLTYwZWVkODgyM2JmZi8yZWE3NzM3NC02MzFlLTQ1NTAtOTFjZi1hYTEzMmIyMzhkNWMvOWM0MWRiNzQtNGI1Ny00OTI5LTkyMGQtNmVhZGJkZGQxNzJmIiwiaWF0IjoxNzU0MDQyNjgzLCJleHAiOjMzMzI0NjAyNjgzfQ.h3O_CXuB9en2Ee-TQYGneZYYduQjt4d8tKbSM4-CBBw "" alt=""Screenshot 2025-07-30 at 18.41.30.png"" width=""1164"" data-linear-height=""494"" />

## Environment

Please fill out any of the below that applies

**Operating System/Device**

- [ ] Windows
- [ ] MacOS
- [ ] Linux
- [ ] iPhone
- [ ] Samsung
- [ ] Other (add in additional context field)

**Version:** 

**Browser**

- [ ] Desktop Edge
- [ ] Desktop Chrome/Chromium
- [ ] Desktop Safari
- [ ] Mobile Edge
- [ ] Mobile Chrome/Chromium
- [ ] Mobile Safari
- [ ] Other (add in additional context field)

**Version:** 

## **Additional context**","Bug, Rubik"
