fonte,repositorio,titulo,conteudo,categoria,metadata,timestamp
issue,PrestaShop/PrestaShop,HTML visible in the groups descriptions,"Issue: HTML visible in the groups descriptions

Descrição: ### Prerequisites

- [X] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [X] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

HTML is visible in the group descriptions on the Groups page in the back office.

Screenshot:
![image](https://github.com/user-attachments/assets/cade08a2-3703-493c-884a-da4a5b654c5d)


### Expected behavior

The group name should be **bolded**

### Steps to reproduce

1. Go to the Customer settings -> Groups
2. See that the HTML is visible.

### PrestaShop version(s) where the bug happened

9.0.0

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['customer groups', 'regression', 'bug', '9.0.x', 'bo', 'verified', 'trivial'], 'numero': 36489, 'relevante': False, 'comentarios': 0}",2025-08-06T20:15:41.773936
issue,PrestaShop/PrestaShop,[BO - Invoices Page] Harmonize Helper Text Buttons,"Issue: [BO - Invoices Page] Harmonize Helper Text Buttons

Descrição: ### Prerequisites

- [X] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [X] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Missing help button on Invoices page : 
![image](https://user-images.githubusercontent.com/112863083/208882303-4f7a26a9-d8ec-4a6c-975a-81255b9ee5ff.png)


### Expected behavior

Enable Invoices: Change tooltip wording to **Send an invoice to your customers once their payment has been accepted.**

Enable Tax Breakdown:  Change tooltip wording to **Show tax details on the invoice.**

By date: Remove the tooltip and add a help text with the wording **Date format: YYYY-MM-DD**

### Steps to reproduce

1. Orders > Invoices
2. See error

### PrestaShop version(s) where the bug happened

develop

### PHP version(s) where the bug happened

7.4

### If your bug is related to a module, specify its name and its version

_No response_",issue_fechada,"{'labels': ['invoices', 'quickwin', 'pm ✔️', 'bug', 'topwatchers', 'bo', 'ux ✔️', '8.1.x', 'hacktoberfest', 'verified', 'trivial', 'wording ✔️'], 'numero': 30632, 'relevante': False, 'comentarios': 13}",2025-08-06T20:15:42.555173
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #30632,"Hi @paulnoelcholot, if you check the right side, you can see that the helptexts were moved under the labels. Which is a better solution. 👍",comentario,{'issue_numero': 30632},2025-08-06T20:15:43.267310
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #30632,"Hi @Hlavtox,

The problem is that on this same page, there are both behaviors, and from a user point of view, this is not normal.",comentario,{'issue_numero': 30632},2025-08-06T20:15:43.267310
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #30632,"It's @PrestaShop/ux-team job to say if it's ok or not.

I agree with @Hlavtox that having help text on the right is better, and one help icon at the top seems to be ok as there are more checkboxes displayed.

I suggest discussing it with person responsible for UX, to me it doesn't look like a bug or regression.",comentario,{'issue_numero': 30632},2025-08-06T20:15:43.267310
issue,PrestaShop/PrestaShop,Bug: Negative total order (free order),"Issue: Bug: Negative total order (free order)

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

When submitting an order considered as a free order (Cart rules configured to add free shipping / free products), the following exception is thrown :

![Image](https://github.com/user-attachments/assets/80110a64-eaf9-409a-9013-e477ef6ccd5d)

Similar issue : [#36926](https://github.com/PrestaShop/PrestaShop/issues/36926)

### Expected behavior

In the [Calculator class](https://github.com/PrestaShop/PrestaShop/blob/8.2.x/src/Core/Cart/Calculator.php), the total order without discount Is calculated without rounding the result and, after that, is subtracted by rounding total. This can have an impact on final price.

Here is the example with 21.525 without tax
![Image](https://github.com/user-attachments/assets/c3da4e2b-9c02-4464-a09a-ee18fbac8f9e)

### Steps to reproduce

In clean prestashop 8.2 :
- Create a product with price 21.525000 without tax
- Create a cart rule with high amount (> product price with tax) and free shipping
- Add the product previously created to cart
- add the cart rule previously created 
- try validate order

You can also do it with price 21.525000 with tax for the same bug in front :

![Image](https://github.com/user-attachments/assets/1200c19b-9106-4b50-97d6-8b8f8f44cf1c)

### PrestaShop version(s) where the bug happened

8.2

### PHP version(s) where the bug happened

8.1.28

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

Le Vapoteur Discount",issue_fechada,"{'labels': ['pr available', 'shopping carts fo', 'cart rules', 'bug', '8.2.x', 'order', 'fo', 'verified', 'major'], 'numero': 37924, 'relevante': True, 'comentarios': 2}",2025-08-06T20:15:43.966468
issue,PrestaShop/PrestaShop,Multistore: CMS page error on new empty store creation,"Issue: Multistore: CMS page error on new empty store creation

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Multistore: CMS page error on new empty store creation: 

> Cms category object with id ""1"" has not been found for retrieving breadcrumbs
> [PrestaShop\PrestaShop\Core\Domain\CmsPageCategory\Exception\CmsPageCategoryNotFoundException 0]


### Expected behavior

_No response_

### Steps to reproduce


Multistore -> Add a new store 
Set importa data (No)

![Image](https://github.com/user-attachments/assets/c29ea4fc-a4aa-4a18-980b-a30d1424bc36)

Select an empty store -> Design -> Pages

![Image](https://github.com/user-attachments/assets/43c5ffce-5378-4025-a421-73cd8e2d1fd0)



### PrestaShop version(s) where the bug happened

8.2.1

### PHP version(s) where the bug happened

8.1.x

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['pr available', 'multistore', 'pages', 'bug', '8.2.x', 'bo', 'major', 'verified', 'design'], 'numero': 38528, 'relevante': False, 'comentarios': 2}",2025-08-06T20:15:44.663462
issue,PrestaShop/PrestaShop,Carrier search not working when editing order's carrier,"Issue: Carrier search not working when editing order's carrier

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

When changing carriers for order, a window to select a carrier pops up. If there are more carrier, a search field is visible, but not working, it's not clickable.

![Image](https://github.com/user-attachments/assets/519d756f-b488-4667-98dd-d5d196e96851)

### Expected behavior

Search input field should not appear at all or should work correctly.

### Steps to reproduce

1. Have a store with at least 8 universal carriers
2. Go to an order in back office, that is eligible for carrier change
3. Try to change the carrier by clicking ""Edit"" in the ""Carriers"" tab
4. Notice that if there are more carriers, a search input field is visible, but is not working.

### PrestaShop version(s) where the bug happened

9.0.0, 8.2.0

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['pr available', 'bug', '8.2.x', 'order', 'carriers', 'bo', 'verified', 'major'], 'numero': 38961, 'relevante': True, 'comentarios': 2}",2025-08-06T20:15:45.383951
issue,PrestaShop/PrestaShop,Unable to configure a module that utilizes a modern controller,"Issue: Unable to configure a module that utilizes a modern controller

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

There’s an issue with the configuration page of modules using modern (Symfony) controllers. It simply redirects to the 404 page.

### Expected behavior

It should open the configuration page of the module.

### Steps to reproduce

1. Install PS 9.0.0 Beta
2. Navigate to any module that utilizes a modern controller, such as the `blockwishlist` module
3. Observe multiple redirections that are finally landing on 404 page error

### PrestaShop version(s) where the bug happened

9.0.0

### PHP version(s) where the bug happened

8.1

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

Promokit",issue_fechada,"{'labels': ['pr available', 'regression', 'bug', '9.0.x', 'co', 'module', 'verified', 'major'], 'numero': 38045, 'relevante': False, 'comentarios': 11}",2025-08-06T20:15:46.157128
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #38045,"Hello @promokit,
I have verified that this issue occurs when Prestashop is installed in a subfolder. Can you confirm this?
When installing Prestashop in the root, the issue does not occur, at least for me.
I’m mentioning this to provide an additional input.",comentario,{'issue_numero': 38045},2025-08-06T20:15:46.848004
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #38045,"In the case of installation in a subfolder, the `physical_uri` field in the shop_url table contains the subfolder name. The issue comes from the T`ools::sanitizeAdminUrl()` method: 
https://github.com/PrestaShop/PrestaShop/blob/281be1ba0defea4367bfe7c4e825b3cf837f6715/classes/Tools.php#L202-L215

In this function, $link->getAdminBaseLink() already includes the subfolder (from physical_uri), but it is appended again when building the final URL. This results in an incorrect URL structure where the subfolder appears twice, leading to a 404 error.

If this issue is confirmed, I have created the following PR: https://github.com/PrestaShop/PrestaShop/pull/38048

Looking forward to your feedback!",comentario,{'issue_numero': 38045},2025-08-06T20:15:46.848004
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #38045,"Yes, sorry, I forgot to mention that was installation to subfolder.
Thank you",comentario,{'issue_numero': 38045},2025-08-06T20:15:46.848004
issue,PrestaShop/PrestaShop,My PrestaShop 8.1.7 E-commerce Site Issue,"Issue: My PrestaShop 8.1.7 E-commerce Site Issue

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

My e-commerce site is built with PrestaShop 8.1.7. For local testing, it runs on a Wamp 3.3.7 virtual server.

When my site is in Production mode:

With PHP version 7.4, I can access the site's index.php page. However, when I click on an element (like a link) on this page, I am instantly redirected to the live, online version of the same site. Additionally, I cannot access the site's Dashboard. This behavior is the same when my server runs on PHP versions higher than 7.4.

When my site is in Debug mode:

When my server is running PHP 7.4, I have full access to the local front office of my site, despite the presence of a few errors, and I can easily access the site's Dashboard.

When the server is running on a PHP version higher than 7.4, I still have full access to the local front office, with a few errors. However, this time when I try to log in to access the Dashboard, PrestaShop gives me a blank page.

How can I solve this problem and access my site's Dashboard in both Debug and Production modes, regardless of the PHP version my server is running?

### Expected behavior

I need to access my site's Dashboard in both Debug and Production modes, no matter which PHP version my server is running

### Steps to reproduce

1- Debug Mode
2-Prod Mode

### PrestaShop version(s) where the bug happened

PrestaShop 8.1.7

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

Php 7.4, 8.0, 8.1

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes",issue_fechada,"{'labels': ['new', 'bug'], 'numero': 39298, 'relevante': False, 'comentarios': 1}",2025-08-06T20:15:48.837020
issue,PrestaShop/PrestaShop,In the BO the new shop selection dropdown does not reflect employee permissions,"Issue: In the BO the new shop selection dropdown does not reflect employee permissions

Descrição: ### Prerequisites

- [X] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md)
- [X] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add screenshots

In a multishop environment, when logging into the BO as an employee, that has limited access (only some of the shops), I see all the shops in the shop selection dropdown. I should see only shops in the selection that I have access to.

Old shop list is OK, it shows only shops I have access.
![Immagine 2022-10-14 142512](https://user-images.githubusercontent.com/7520695/195846419-8aff9bf3-61f7-4ad7-929c-0a7a75e70037.png)

New shop list is not OK, all shops are listed.
![Immagine 2022-10-14 142430](https://user-images.githubusercontent.com/7520695/195846432-5a039450-f133-412e-b3f0-30a30ce09a37.png)


### Expected behavior

The list should show only the shop, where the employee has permissions

### Steps to reproduce

Set up a multishop environment, with three shops. Set up an employee that has access to only one or two shops.
Reproduce:
1. Log into the BO as the limited employee.
2. Navigate to Orders - Shopping Carts
    - If the employee has access to two shop, he will see the shop selection dropdown in the top right corner => OK
    - If the employee has access to one shop, he will see `View my shop` in place of the dropdown => OK
3. Navigate to Orders - Orders
4. Notice that the new shop selection dropdown shows all three shops. => This is not correct
5. Select the shop the employee has not access
6. Notice that he is redirected to a shop he has access to => OK


### PrestaShop version(s) where the bug happened

1.7.8.7

### PHP version(s) where the bug happened

7.3

### If your bug is relat",issue_fechada,"{'labels': ['employees', 'multistore', '1.7.8.7', 'regression', 'bug', 'bo', 'verified', 'trivial'], 'numero': 30012, 'relevante': False, 'comentarios': 2}",2025-08-06T20:15:49.595509
issue,PrestaShop/PrestaShop,BO - Legacy page VS migrated page - Export to SQL Manager button leads to query without indentation,"Issue: BO - Legacy page VS migrated page - Export to SQL Manager button leads to query without indentation

Descrição: ### Prerequisites

- [X] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md)
- [X] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add screenshots

The SQL query is in 1 big block (unreadable), instead of having the right indentation.

For example in _Brands & Suppliers > Brands_ page (migrated page), my SQL query looks like:
<img width=""813"" alt=""Screenshot 2022-10-06 at 10 09 06"" src=""https://user-images.githubusercontent.com/16019289/194257706-21f2e280-137b-42ec-bd9f-60863ffef5ee.png"">


### Expected behavior

It should look something like this:
<img width=""802"" alt=""Screenshot 2022-10-06 at 10 09 21"" src=""https://user-images.githubusercontent.com/16019289/194257825-42c332da-8cd7-45ca-83cd-86422a9db9fd.png"">

This is the non-migrated page for _Attributes & Features > Attributes_.

### Steps to reproduce

1. Go to BO > Catalog > Attributes & Features 
2. Click on ""Export to MySQL Manager"" button
3. See the indentation is correct ✅ 
4. Go to BO > Catalog > Brands & Suppliers
5.  Click on ""Export to MySQL Manager"" button
6. See 1 big bloc of query :x:

### PrestaShop version(s) where the bug happened

8.0.0 (+ all versions where legacy pages exist with symfony pages)

### PHP version(s) where the bug happened

7.4

### If your bug is related to a module, specify its name and its version

_No response_",issue_fechada,"{'labels': ['bug', '1.7.7.8', 'bo', 'import / export', 'trivial', 'verified', 'sql manager'], 'numero': 29908, 'relevante': False, 'comentarios': 1}",2025-08-06T20:15:51.264419
issue,PrestaShop/PrestaShop,Generate password button for employee in back office does not work,"Issue: Generate password button for employee in back office does not work

Descrição: ### Prerequisites

- [X] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [X] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Generate password button for employee in back office does not work

### Expected behavior

It should generate the new password respecting settings from the password policy page.

### Steps to reproduce

1. Go to your profile settings in the back office.
2. Click the ""Change password"" button
3. Click the ""Generate password"" button

https://capture.dropbox.com/9s8HRpgMUl58bD44

### PrestaShop version(s) where the bug happened

9.0.0

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['profiles', 'minor', 'bug', '9.0.x', 'bo', 'verified'], 'numero': 36445, 'relevante': False, 'comentarios': 2}",2025-08-06T20:15:53.016401
issue,PrestaShop/PrestaShop,Prestashop Minimal product quantity,"Issue: Prestashop Minimal product quantity

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

---

### Describe the bug and add attachments

> ❗️Note: This issue occurs **even if the theme is not the Classic theme**.  
> However, the bug is **not caused by the theme itself**, but by the logic of how ""Add to cart"" is handled in product listings when combinations and minimal quantity are involved.

When a product has **combinations** and a **minimal purchase quantity** (e.g. 3), the **product listings view** (category pages, home, featured products, etc.) always assumes a quantity of 1.

If the user clicks ""Add to cart"" from the product list/card (not from the product detail page), nothing happens, and there is no error shown.  
This results in broken UX and lost sales opportunities.

📸 Screenshots:

<img width=""487"" height=""600"" alt=""Product card showing quantity 1"" src=""https://github.com/user-attachments/assets/447ad7de-8288-4fd3-98b9-bd1ad595c4d6"" />

<img width=""705"" height=""344"" alt=""No feedback after clicking Add to cart"" src=""https://github.com/user-attachments/assets/512286d4-9565-4e51-ab61-c81f8e01d836"" />

---

### Expected behavior

The product card should either:

- Display the correct minimal quantity, or
- Redirect the user to the product page to select a valid combination.

If ""Add to cart"" is available directly in the listing, it should respect the minimal quantity set for the default combination.

A proper error message should appear if the quantity is too low.

---

### Steps to reproduce

1. Create a product with combinations (e.g. Size: S, M, L).
2. Set the default combination’s minimal quantity to 3.
3. Place this product in a category or home listing.
4. From the pr",issue_fechada,"{'labels': ['new', 'bug'], 'numero': 39251, 'relevante': False, 'comentarios': 2}",2025-08-06T20:15:53.747533
issue,PrestaShop/PrestaShop,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","Issue: For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

PrestaShop 9.0 and 9.1 same identical issues

PS_ENABLE_SSL: 1 

is activated on docker compose

PS_DOMAIN: prestashop.mariushosting.synology.me

too.

Unable to replicate this issue on the old 8.2.2 version

<img width=""1195"" height=""603"" alt=""Image"" src=""https://github.com/user-attachments/assets/c7be8010-eeaf-4e6d-8694-e061895f81ae"" />

### Expected behavior

PS_ENABLE_SSL: 1 

should work

### Steps to reproduce

PS_ENABLE_SSL: 1 

### PrestaShop version(s) where the bug happened

9.0

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

_No response_

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['new', 'bug'], 'numero': 39282, 'relevante': False, 'comentarios': 6}",2025-08-06T20:15:54.408331
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #39282,"Hi @mariushosting, without more information, this issue will be closed.

What exact url are you on?
What happens if you click on the https link?",comentario,{'issue_numero': 39282},2025-08-06T20:15:55.077666
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #39282,"> Hi [@mariushosting](https://github.com/mariushosting), without more information, this issue will be closed.
> 
> What exact url are you on? What happens if you click on the https link?

After click I get a 500 internal server error.

<img width=""1001"" height=""400"" alt=""Image"" src=""https://github.com/user-attachments/assets/7c48d657-e216-4caa-a183-0aae3a11da7a"" />

Tested multiple time with reverse proxy there is no way.

No issue at all with PrestaShop version 8.2

PS_ENABLE_SSL: 1 does not work at all as environment variable on PrestaShop 9",comentario,{'issue_numero': 39282},2025-08-06T20:15:55.077666
comentario_issue,PrestaShop/PrestaShop,Comentário na issue #39282,"@mariushosting 

> Avoid reporting ""error 500"" or ""white page"" errors - this is a universal error message that does not provide enough information to qualify the issue. Enable debug mode in the Performance section of PrestaShop or manually in /config/defines.inc.php and try again. You should get a proper error message.",comentario,{'issue_numero': 39282},2025-08-06T20:15:55.077666
issue,PrestaShop/PrestaShop,Error installing PrestaShop 8 locally,"Issue: Error installing PrestaShop 8 locally

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

Hello,

I have a store running PrestaShop 1.7 and I'm preparing to switch it to PrestaShop 8. I'm preparing for a PHP 8.3.1 environment.
I want to develop this new store locally initially.
I installed Mamp and downloaded Prestahsop 8. After finding several fixes online to make Mamp work, the installation went smoothly until ""Store Installation"" and ""Theme Installation.""
From then on, I consistently get a 500 error: ""1: HTTP 500 - error - {""success"":true,""message"":""""}""

Here are the error logs.
In php_error.log (examples but no fatal error) :

[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:46:20 Europe/Paris] PHP obsolète : la création de la propriété dynamique PrestaShopLogger::$hash est obsolète dans C:\MAMP\htdocs\prestashop8\classes\PrestaShopLogger.php à la ligne 194
[01-août-2025 19:47:00 Europe/Paris] Avis PHP : stream_copy_to_stream() : la lecture de 8 192 octets a échoué avec l’erreur 13. Permission refusée dans C:\MAMP\htdocs\prestashop8\vendor\symfony\symfony\src\Symfony\Component\Filesystem\Filesystem.php à la ligne 66
[01-août-2025 19:47:03 Europe/Paris] Avertissement PHP : filemtime() : stat failed for C:\MAMP\htdocs\prestashop8\var\cache\prod\ContainerI3OtKvw\appAppKer",issue_fechada,"{'labels': ['new', 'bug'], 'numero': 39281, 'relevante': False, 'comentarios': 1}",2025-08-06T20:15:55.802723
issue,PrestaShop/PrestaShop,Bad badge when update to 8.2.2,"Issue: Bad badge when update to 8.2.2

Descrição: ### Prerequisites

- [x] I understand and accept the project's [code of conduct](https://github.com/PrestaShop/PrestaShop/blob/develop/CODE_OF_CONDUCT.md).
- [x] I have already [searched in existing issues](https://github.com/PrestaShop/PrestaShop/issues?q=is%3Aissue+label%3ABug) and found no previous report of this bug.

### Describe the bug and add attachments

An incorrect badge is displayed for update 8.2.2

See screenshot

<img width=""2246"" height=""512"" alt=""Image"" src=""https://github.com/user-attachments/assets/b5634ea4-fd6c-4ffe-9f3b-1e3f22dc25c0"" />

### Expected behavior

Good badge

### Steps to reproduce

Try update to 8.2.2 

### PrestaShop version(s) where the bug happened

module version 7.3

### How you installed PrestaShop

_No response_

### PHP version(s) where the bug happened

_No response_

### If your bug is related to a module, specify its name and its version

autoupgrade

### Your company or customer's name goes here (if applicable).

_No response_",issue_fechada,"{'labels': ['new', 'bug'], 'numero': 39280, 'relevante': False, 'comentarios': 0}",2025-08-06T20:15:56.511329
documentacao,PrestaShop/PrestaShop,Documentação: README.md,"About PrestaShop
--------

[![PHP checks and unit tests](https://github.com/PrestaShop/PrestaShop/actions/workflows/php.yml/badge.svg)](https://github.com/PrestaShop/PrestaShop/actions/workflows/php.yml)
[![Integration tests](https://github.com/PrestaShop/PrestaShop/actions/workflows/integration.yml/badge.svg)](https://github.com/PrestaShop/PrestaShop/actions/workflows/integration.yml)
[![UI tests](https://github.com/PrestaShop/PrestaShop/actions/workflows/sanity.yml/badge.svg)](https://github.com/PrestaShop/PrestaShop/actions/workflows/sanity.yml)
[![Nightly Status](https://img.shields.io/endpoint?url=https%3A%2F%2Fapi-nightly.prestashop-project.org%2Fdata%2Fbadge&label=Nightly%20Status&cacheSeconds=3600)](https://nightly.prestashop-project.org/)
[![Minimum PHP Version](https://img.shields.io/badge/php-%3E%3D%208.1-8892BF.svg?style=flat-square)](https://php.net/)
[![GitHub release](https://img.shields.io/github/v/release/prestashop/prestashop)](https://github.com/PrestaShop/PrestaShop)
[![Slack chat](https://img.shields.io/badge/Chat-on%20Slack-red)](https://www.prestashop-project.org/slack/)
[![GitHub forks](https://img.shields.io/github/forks/PrestaShop/PrestaShop)](https://github.com/PrestaShop/PrestaShop/network)
[![GitHub stars](https://img.shields.io/github/stars/PrestaShop/PrestaShop)](https://github.com/PrestaShop/PrestaShop/stargazers)

PrestaShop is an Open Source e-commerce web application, committed to providing the best shopping cart experience for both merchants and customers. It is written in PHP, is highly customizable, supports all the major payment services, is translated in many languages and localized for many countries, has a fully responsive design (both front and back office), etc. [See all the available features][available-features].

<p align=""center"">
  <img src=""https://user-images.githubusercontent.com/2137763/201319765-9157f702-4970-4258-8390-1187de2ad587.png"" alt=""PrestaShop 8.0 back office""/>
</p>

This repository contains the source",documentacao,"{'arquivo': 'README.md', 'tamanho': 11651}",2025-08-06T20:15:58.440936
documentacao,PrestaShop/PrestaShop,Documentação: CONTRIBUTING.md,"Contributing to PrestaShop
--------------------------

PrestaShop is an open-source e-commerce solution. Everyone is welcome and even encouraged to contribute with their own improvements.

PrestaShop is written mostly in PHP. Other languages used throughout are JavaScript (and TypeScript), HTML, CSS, the Smarty & Twig templating languages, SQL, and XML.

To contribute to the project, you should ideally be familiar with Git, the source code management system that PrestaShop uses, with the official repository being hosted on Github: 
* You can learn more about [Git](https://try.github.io/) (there are many tutorials available on the Web).
* You can get help on [Github](https://help.github.com/).
* Windows users can get a nice interface for Git by installing [TortoiseGit](https://tortoisegit.org/).

There are number of ways to contribute, it is not only about coding! You can read more about contributing on the [project's website][get-involved].

### About licenses

* All core files you commit in your pull request must respect/use the [Open Software License (OSL 3.0)][osl].
* All modules files you commit in your pull request must respect/use the [Academic Free License (AFL 3.0)][afl].


[osl]: https://opensource.org/licenses/OSL-3.0
[afl]: https://opensource.org/licenses/AFL-3.0
[get-involved]: https://www.prestashop-project.org/get-involved/

### Branches

The PrestaShop project adopts [our own flavor of git flow branching strategy](https://build.prestashop-project.org/news/2015/introducing-new-branching-model-prestashop/).

tl;dr Put bug fixes in 8.x or [other supported branches](https://github.com/PrestaShop/PrestaShop/branches), put new compatible and incompatible features in [the develop branch](https://github.com/PrestaShop/PrestaShop).",documentacao,"{'arquivo': 'CONTRIBUTING.md', 'tamanho': 1768}",2025-08-06T20:15:59.804276
